Source,Section,Key,English,Chinese,Review Notes
translations.ts,App Name,app.name,LuminFlow,明鉴,
translations.ts,App Name,app.brand,LuminFlow,明鉴,
translations.ts,Navigation,nav.dashboard,Dashboard,门户首页,
translations.ts,Navigation,nav.tracemap,TraceMap,TraceMap 审计进程全链路图,
translations.ts,Navigation,nav.heatlens,HeatLens,HeatLens 审计风险热力图,
translations.ts,Navigation,nav.sampling,SampleLens,SampleLens 智能抽样预览,
translations.ts,Navigation,nav.pbcview,PBCView,PBCView PBC透视全景图,
translations.ts,Navigation,nav.narrative,NarrativeLens,NarrativeLens 审计叙事生成器,
translations.ts,Navigation,nav.impact,ImpactSimulator,ImpactSimulator 影响模拟器,
translations.ts,Navigation,nav.team,TeamPanel,TeamPanel 团队管理,
translations.ts,Navigation,nav.objective,Audit Objectives,审计目标,
translations.ts,Navigation Sections,nav.section.portal,Portal,门户,
translations.ts,Navigation Sections,nav.section.planning,"Phase 1: Planning",第一阶段：审计计划,
translations.ts,Navigation Sections,nav.section.execution,"Phase 2: Execution",第二阶段：审计实施,
translations.ts,Navigation Sections,nav.section.deficiency,"Phase 3: Deficiency Evaluation",第三阶段：缺陷评价,
translations.ts,Navigation Sections,nav.section.tools,Tools,独立工具,
translations.ts,Navigation Sections,nav.new,NEW,新,
translations.ts,Roles,role.cfo,"CFO (Client Management)",CFO (客户管理层),
translations.ts,Roles,role.auditor,Audit Manager,审计经理,
translations.ts,Roles,role.partner,"Partner (QC)",合伙人 (QC),
translations.ts,Roles,role.financeClerk,Finance Clerk,财务部经办人,
translations.ts,Roles,role.financeManager,Finance Manager,财务部负责人,
translations.ts,Roles,role.switch,Switch Role,切换角色,
translations.ts,Roles,role.groupAudit,Audit Team,审计团队,
translations.ts,Roles,role.groupClient,Client Side,客户方,
translations.ts,Permissions,permission.noAccess,Access Denied,无访问权限,
translations.ts,Permissions,permission.noAccessDesc,"You do not have permission to access this page. Please contact your administrator.",您没有权限访问此页面，请联系管理员。,
translations.ts,Dashboard Welcome,dashboard.welcome.financeClerk,"{name}, here is your PBC progress summary","{name}，以下是您的PBC进度概览",
translations.ts,Dashboard Welcome,dashboard.welcome.financeManager,"{name}, here is your department audit overview","{name}，以下是您的部门审计概览",
